instance,status,meanSolverTime,meanSRTime
inst-695-236760788,graded,13.055,1.006
inst-695-622758660,graded,15.385,1.239
inst-695-744459472,graded,28.679,1.052
inst-697-236760788,graded,15.795,2.049
inst-701-236760788,graded,12.176,1.098
inst-707-138105639,graded,17.962,2.258
inst-708-138105639,graded,20.42,0.827
inst-708-622758660,graded,55.818,0.426
inst-708-744459472,graded,54.937,0.771
inst-709-622758660,graded,356.943,0.614
inst-714-138105639,graded,10.216,3.701
inst-714-622758660,graded,12.826,0.454
inst-714-744459472,graded,15.584,1.654
inst-715-138105639,graded,835.817,2.105
inst-721-236760788,graded,194.903,1.2
inst-722-1125634119,graded,30.425,1.103
inst-722-236760788,graded,819.077,3.862
inst-722-725167965,graded,13.502,0.372
inst-723-1006987790,graded,69.123,1.418
inst-723-1059134666,graded,60.596,5.196
inst-723-1125634119,graded,18.238,0.422
inst-723-1218912387,graded,15.28,19.025
inst-723-1362585030,graded,10.298,23.274
inst-723-1450488136,graded,10.959,0.396
inst-723-236760788,graded,57.159,0.319
inst-723-622758660,graded,16.095,0.367
inst-723-725167965,graded,92.063,0.5
inst-729-622758660,graded,267.652,0.644
inst-729-725167965,graded,22.047,0.641
inst-730-622758660,graded,76.627,0.401
inst-733-725167965,graded,91.967,0.729
inst-737-236760788,graded,449.453,1.672
inst-737-744459472,graded,88.078,1.466
inst-738-236760788,graded,15.895,0.485
inst-738-744459472,graded,10.239,0.583
inst-747-1678613759,graded,16.815,1.764
inst-747-725167965,graded,19.372,0.496
inst-748-1059134666,graded,10.415,3.802
inst-748-1125634119,graded,45.9,0.816
inst-748-1218912387,graded,32.198,18.873
inst-748-1362585030,graded,44.489,31.675
inst-748-138105639,graded,10.776,0.995
inst-748-1678613759,graded,104.541,0.806
inst-748-236760788,graded,12.129,1.514
inst-748-53859469,graded,18.171,1.603
inst-748-657169740,graded,26.638,33.521
inst-748-725167965,graded,17.001,3.261
inst-748-744459472,graded,73.868,0.805
inst-749-744459472,graded,991.373,0.746
inst-755-622758660,graded,36.987,0.458
inst-755-744459472,graded,15.479,0.549
inst-757-138105639,graded,24.035,1.587
inst-757-1450488136,graded,12.343,0.377
inst-757-236760788,graded,18.363,1.006
inst-757-725167965,graded,31.9,0.523
inst-757-744459472,graded,14.948,0.631
inst-758-236760788,graded,12.322,1.857
inst-758-744459472,graded,10.604,2.191
inst-759-236760788,graded,117.718,2.1
inst-759-744459472,graded,30.034,2.065
inst-76-1125634119,graded,70.412,3.796
inst-761-236760788,graded,18.984,1.381
inst-762-236760788,graded,211.822,3.179
inst-763-725167965,graded,18.559,1.273
inst-765-138105639,graded,89.975,1.06
inst-765-725167965,graded,33.654,1.049
inst-766-236760788,graded,140.473,0.489
inst-766-622758660,graded,26.192,1.025
inst-766-725167965,graded,33.161,0.446
inst-76-725167965,graded,11.081,0.931
inst-774-138105639,graded,12.18,1.43
inst-774-1678613759,graded,218.434,1.76
inst-774-622758660,graded,132.337,3.169
inst-774-744459472,graded,22.882,1.179
inst-775-138105639,graded,30.943,0.608
inst-775-622758660,graded,31.553,0.669
inst-775-725167965,graded,13.016,2.554
inst-776-138105639,graded,26.656,0.533
inst-776-622758660,graded,15.26,0.593
inst-776-725167965,graded,11.263,0.608
inst-778-138105639,graded,16.794,0.636
inst-778-236760788,graded,167.78,2.798
inst-778-744459472,graded,18.457,0.895
inst-782-725167965,graded,221.911,2.289
inst-783-725167965,graded,17.346,1.545
inst-786-744459472,graded,54.323,0.543
inst-787-138105639,graded,32.125,0.855
inst-788-725167965,graded,33.858,1.518
inst-792-236760788,graded,174.074,2.274
inst-792-744459472,graded,13.221,0.7
inst-794-236760788,graded,670.574,1.634
inst-98-1125634119,graded,104.61,1.126
inst-98-236760788,graded,74.602,0.478
inst-98-53859469,graded,73.773,0.828
inst-12-253244154,graded,12.699,0.553
inst-12-820223462,graded,860.281,0.858
inst-131-1287427781,graded,45.399,1.796
inst-136-756418747,graded,876.482,3.385
inst-138-1352538835,graded,27.711,0.866
inst-142-253244154,graded,27.277,2.651
inst-146-1352538835,graded,18.755,0.609
inst-146-1849147673,graded,99.909,0.347
inst-146-253244154,graded,367.219,0.835
inst-146-886863663,graded,27.696,0.658
inst-157-820223462,graded,143.662,2.099
inst-162-312021791,graded,794.273,1.56
inst-165-253244154,graded,334.989,1.46
inst-171-312021791,graded,320.037,1.02
inst-181-820223462,graded,13.644,0.622
inst-201-312021791,graded,30.323,1.273
inst-222-756418747,graded,162.292,0.936
inst-222-820223462,graded,102.709,1.664
inst-222-886863663,graded,619.152,0.789
inst-232-312021791,graded,398.893,0.938
inst-242-253244154,graded,371.658,0.771
inst-245-253244154,graded,57.06,0.732
inst-245-820223462,graded,172.628,1.33
inst-256-1287427781,graded,150.399,1.739
inst-259-1287427781,graded,34.39,1.088
inst-259-1352538835,graded,10.999,0.655
inst-259-1849147673,graded,304.733,0.977
inst-259-253244154,graded,424.386,1.034
inst-259-29510123,graded,354.318,1.443
inst-259-312021791,graded,858.777,0.766
inst-259-485952560,graded,58.667,1.163
inst-262-253244154,graded,52.033,0.811
inst-279-820223462,graded,739.475,0.697
inst-280-253244154,graded,121.555,0.745
inst-280-312021791,graded,23.041,0.922
inst-280-706832118,graded,540.004,1.4
inst-280-820223462,graded,88.266,1.404
inst-286-1530506312,graded,13.589,0.724
inst-286-820223462,graded,46.322,0.319
inst-288-1287427781,graded,211.287,21.915
inst-288-820223462,graded,44.823,0.806
inst-30-1849147673,graded,325.42,1.583
inst-30-253244154,graded,27.26,0.476
inst-30-29510123,graded,211.68,1.353
inst-30-312021791,graded,393.025,0.743
inst-30-756418747,graded,234.095,3.773
inst-320-253244154,graded,211.628,0.911
inst-359-1849147673,graded,25.354,0.921
inst-359-756418747,graded,50.094,0.587
inst-360-1352538835,graded,162.076,0.558
inst-361-1352538835,graded,93.32,0.652
inst-361-253244154,graded,51.978,1.451
inst-361-29510123,graded,851.497,1.37
inst-361-820223462,graded,83.895,1.0
inst-365-1287427781,graded,274.057,1.319
inst-365-1352538835,graded,37.674,0.599
inst-365-312021791,graded,21.916,0.794
inst-370-820223462,graded,157.115,2.37
inst-372-1109441022,graded,11.175,0.584
inst-372-1352538835,graded,95.823,0.348
inst-372-1669147618,graded,156.186,0.317
inst-372-253244154,graded,456.926,2.261
inst-372-485952560,graded,156.313,0.692
inst-372-756418747,graded,958.986,0.299
inst-372-820223462,graded,73.295,0.742
inst-372-886863663,graded,40.759,0.413
inst-374-1849147673,graded,403.926,0.645
inst-375-820223462,graded,191.394,0.917
inst-405-1352538835,graded,10.645,1.712
inst-406-1669147618,graded,526.647,0.866
inst-406-312021791,graded,505.269,0.727
inst-407-820223462,graded,964.642,2.213
inst-412-253244154,graded,187.972,0.77
inst-414-1530506312,graded,997.965,6.247
inst-414-29510123,graded,29.567,3.981
inst-414-756418747,graded,15.254,0.732
inst-415-756418747,graded,39.738,9.107
inst-416-312021791,graded,45.726,0.786
inst-416-799667840,graded,95.193,0.647
inst-416-886863663,graded,1009.741,0.606
inst-418-799667840,graded,227.374,1.393
inst-418-820223462,graded,548.244,0.898
inst-424-1669147618,graded,77.859,1.147
inst-424-1849147673,graded,31.308,0.877
inst-424-312021791,graded,75.571,0.4
inst-424-799667840,graded,460.553,2.178
inst-430-1352538835,graded,75.468,0.879
inst-433-799667840,graded,14.293,0.505
inst-436-799667840,graded,27.633,1.087
inst-437-1287427781,graded,114.652,1.962
inst-437-1669147618,graded,302.665,2.487
inst-437-1849147673,graded,11.136,0.838
inst-437-253244154,graded,716.785,0.836
inst-43-756418747,graded,22.577,5.382
inst-437-706832118,graded,68.422,0.992
inst-43-820223462,graded,10.068,3.055
inst-450-1352538835,graded,141.466,0.821
inst-45-1352538835,graded,432.746,2.126
inst-455-1669147618,graded,56.852,3.646
inst-458-1352538835,graded,462.248,1.642
inst-461-1669147618,graded,35.914,500.882
inst-464-1669147618,graded,36.101,508.982
inst-466-1669147618,graded,36.209,507.104
inst-467-1669147618,graded,35.873,506.408
inst-468-1109441022,graded,12.668,2.335
inst-468-1669147618,graded,45.928,508.923
inst-469-1669147618,graded,35.873,508.553
inst-470-1669147618,graded,36.011,506.75
inst-471-1669147618,graded,35.873,506.01
inst-473-1669147618,graded,35.873,503.919
inst-474-1669147618,graded,35.873,488.603
inst-475-1669147618,graded,36.078,509.039
inst-476-1669147618,graded,35.88,500.959
inst-480-1669147618,graded,35.873,488.661
inst-483-1669147618,graded,35.898,508.929
inst-484-1669147618,graded,35.885,504.568
inst-485-1669147618,graded,36.739,508.983
inst-487-1669147618,graded,36.241,504.56
inst-48-886863663,graded,532.855,1.338
inst-490-1669147618,graded,35.884,506.89
inst-495-1669147618,graded,35.873,502.707
inst-499-1109441022,graded,691.211,0.861
inst-500-1669147618,graded,36.0,506.844
inst-502-1669147618,graded,35.887,508.797
inst-506-1669147618,graded,199.767,504.508
inst-524-1669147618,graded,85.405,19.034
inst-556-1109441022,graded,70.158,0.479
inst-67-1352538835,graded,863.8,1.819
inst-79-253244154,graded,288.345,1.558
inst-79-756418747,graded,51.198,10.177
inst-79-820223462,graded,21.623,1.528
inst-87-886863663,graded,57.719,0.422
inst-91-253244154,graded,34.394,0.546
inst-91-886863663,graded,27.188,0.54
inst-98-1530506312,graded,20.981,1.806
