instance,status,meanSolverTime,meanSRTime
inst-529-484122292,graded,12.444,0.539
inst-529-715166324,graded,12.751,0.843
inst-529-875407424,graded,14.535,1.089
inst-533-1986116737,graded,1084.203,0.967
inst-537-1014571339,graded,185.325,0.83
inst-537-19034017,graded,530.513,0.448
inst-538-1242700005,graded,995.883,0.739
inst-538-19034017,graded,48.108,0.411
inst-538-715166324,graded,32.429,0.514
inst-541-1986116737,graded,330.66,0.724
inst-546-19034017,graded,17.027,0.502
inst-546-715166324,graded,16.937,0.712
inst-549-1014571339,graded,32.411,0.374
inst-549-1242700005,graded,19.135,0.443
inst-549-1401207286,graded,142.331,0.794
inst-549-19034017,graded,76.854,0.88
inst-549-2112075539,graded,14.374,0.304
inst-549-322757527,graded,11.836,0.413
inst-549-484122292,graded,12.552,0.584
inst-549-715166324,graded,58.416,0.977
inst-549-875407424,graded,22.111,0.701
inst-550-1014571339,graded,79.325,0.739
inst-550-19034017,graded,22.31,0.552
inst-554-1986116737,graded,25.131,0.613
inst-562-1986116737,graded,315.608,0.991
inst-571-19034017,graded,51.793,0.952
inst-572-1242700005,graded,22.375,0.916
inst-580-1242700005,graded,453.674,0.748
inst-580-19034017,graded,1160.02,1.246
inst-580-1986116737,graded,114.197,0.696
inst-582-1014571339,graded,236.437,0.693
inst-582-1242700005,graded,114.124,0.732
inst-582-1401207286,graded,770.659,0.984
inst-582-1710883418,graded,423.831,0.623
inst-582-1822952153,graded,254.933,0.855
inst-582-19034017,graded,154.968,0.478
inst-582-1927683781,graded,430.455,0.713
inst-582-1986116737,graded,597.794,0.616
inst-582-2112075539,graded,284.316,0.353
inst-582-215827268,graded,177.223,0.803
inst-582-322757527,graded,115.614,1.906
inst-582-484122292,graded,430.996,0.991
inst-582-715166324,graded,194.542,1.109
inst-582-875407424,graded,291.008,1.066
inst-583-1242700005,graded,33.949,0.835
inst-583-19034017,graded,213.381,0.505
inst-583-715166324,graded,15.316,0.632
inst-583-875407424,graded,108.491,0.411
inst-587-1242700005,graded,417.771,1.175
inst-587-19034017,graded,216.807,0.524
inst-591-1014571339,graded,649.727,0.743
inst-591-1242700005,graded,91.922,1.188
inst-591-19034017,graded,148.118,1.043
inst-597-1014571339,graded,421.131,0.57
inst-597-1242700005,graded,89.458,0.571
inst-597-1401207286,graded,47.976,0.448
inst-59-715166324,graded,235.977,2.228
inst-597-19034017,graded,46.127,0.826
inst-597-715166324,graded,32.474,0.637
inst-59-875407424,graded,101.098,0.828
inst-601-1014571339,graded,22.62,0.74
inst-601-484122292,graded,63.107,0.527
inst-601-715166324,graded,79.208,0.823
inst-602-484122292,graded,11.169,0.622
inst-602-715166324,graded,17.69,0.91
inst-607-1014571339,graded,78.125,0.494
inst-607-1242700005,graded,26.34,0.463
inst-608-715166324,graded,395.088,1.066
inst-611-1014571339,graded,160.641,1.045
inst-611-1242700005,graded,105.49,1.333
inst-611-715166324,graded,10.384,1.034
inst-615-715166324,graded,16.905,0.72
inst-617-19034017,graded,16.733,0.554
inst-618-1986116737,graded,161.672,0.568
inst-623-19034017,graded,309.328,0.75
inst-629-715166324,graded,811.124,0.586
inst-635-715166324,graded,10.689,0.397
inst-637-1014571339,graded,45.832,1.318
inst-637-19034017,graded,230.594,0.858
inst-638-1014571339,graded,12.65,1.326
inst-638-1242700005,graded,30.776,0.712
inst-638-1710883418,graded,10.917,0.642
inst-638-2112075539,graded,19.278,0.629
inst-638-484122292,graded,12.193,0.743
inst-638-715166324,graded,23.739,1.047
inst-640-1014571339,graded,231.94,0.938
inst-640-1242700005,graded,521.961,0.836
inst-640-1401207286,graded,117.807,1.618
inst-640-1986116737,graded,73.403,0.88
inst-640-2112075539,graded,749.591,0.887
inst-640-215827268,graded,27.995,0.54
inst-640-322757527,graded,42.651,0.754
inst-640-484122292,graded,29.644,1.486
inst-640-715166324,graded,1175.288,0.651
inst-640-875407424,graded,99.731,0.571
inst-642-1014571339,graded,33.218,1.278
inst-642-1986116737,graded,42.923,0.772
inst-644-1014571339,graded,25.767,1.399
inst-644-1242700005,graded,75.105,0.945
inst-644-1401207286,graded,22.763,0.904
inst-644-1710883418,graded,81.453,0.635
