instance,status,meanSolverTime
inst-100-715166324,graded,24.853
inst-111-484122292,graded,14.434
inst-113-1986116737,graded,317.663
inst-120-1710883418,graded,13.501
inst-120-1986116737,graded,89.069
inst-120-875407424,graded,13.165
inst-157-2112075539,graded,10.248
inst-157-875407424,graded,34.093
inst-179-875407424,graded,18.346
inst-215-875407424,graded,25.194
inst-229-1014571339,graded,61.316
inst-229-215827268,graded,10.019
inst-248-1014571339,graded,12.799
inst-258-1927683781,graded,13.926
inst-258-484122292,graded,38.461
inst-260-484122292,graded,702.472
inst-261-1014571339,graded,25.51
inst-262-215827268,graded,264.011
inst-295-2112075539,graded,50.183
inst-304-484122292,graded,25.299
inst-31-1986116737,graded,57.513
inst-327-2112075539,graded,36.08
inst-340-19034017,graded,11.992
inst-342-1014571339,graded,263.373
inst-342-1986116737,graded,61.899
inst-353-1014571339,graded,12.307
inst-353-19034017,graded,204.95
inst-353-1927683781,graded,211.479
inst-353-1986116737,graded,172.652
inst-361-1401207286,graded,73.978
inst-361-1927683781,graded,526.325
inst-36-1986116737,graded,218.813
inst-367-1927683781,graded,251.63
inst-367-2112075539,graded,1120.644
inst-376-2112075539,graded,97.31
inst-376-715166324,graded,381.245
inst-378-1927683781,graded,123.869
inst-380-2112075539,graded,40.382
inst-383-1401207286,graded,38.668
inst-383-484122292,graded,16.428
inst-383-715166324,graded,16.631
inst-383-875407424,graded,11.746
inst-389-2112075539,graded,266.041
inst-389-215827268,graded,93.767
inst-391-1401207286,graded,883.677
inst-391-1710883418,graded,187.087
inst-391-1822952153,graded,98.551
inst-391-215827268,graded,788.813
inst-391-322757527,graded,102.255
inst-391-484122292,graded,84.364
inst-393-484122292,graded,19.282
inst-395-875407424,graded,18.945
inst-421-1242700005,graded,11.179
inst-421-19034017,graded,26.182
inst-426-2112075539,graded,421.431
inst-426-715166324,graded,27.639
inst-491-1822952153,graded,27.2
inst-499-1822952153,graded,61.207
inst-508-1014571339,graded,14.967
inst-508-1822952153,graded,37.111
inst-513-1986116737,graded,104.82
inst-518-1822952153,graded,41.686
inst-528-1014571339,graded,11.4
inst-528-1822952153,graded,85.608
inst-528-506479957,graded,65.02
inst-539-1242700005,graded,25.779
inst-539-1927683781,graded,95.396
inst-542-1822952153,graded,770.733
inst-542-2112075539,graded,13.973
inst-542-322757527,graded,235.492
inst-542-715166324,graded,351.34
inst-545-1822952153,graded,19.612
inst-569-215827268,graded,337.582
inst-569-484122292,graded,28.286
inst-574-1822952153,graded,501.622
inst-588-1242700005,graded,154.647
inst-591-1401207286,graded,47.111
inst-591-484122292,graded,127.141
inst-591-506479957,graded,107.951
inst-603-1401207286,graded,726.659
inst-603-1710883418,graded,32.464
inst-609-1822952153,graded,46.482
inst-609-484122292,graded,45.854
inst-609-506479957,graded,13.465
inst-615-1822952153,graded,25.389
inst-621-1822952153,graded,56.409
inst-630-1401207286,graded,704.251
inst-630-506479957,graded,21.174
inst-638-1710883418,graded,11.571
inst-645-1710883418,graded,827.513
inst-645-1822952153,graded,23.376
inst-660-1822952153,graded,29.624
inst-667-1401207286,graded,21.464
inst-667-1710883418,graded,23.349
inst-667-1822952153,graded,25.92
inst-667-484122292,graded,16.667
inst-668-1822952153,graded,151.443
inst-668-484122292,graded,109.864
inst-668-506479957,graded,40.771
inst-700-1822952153,graded,12.344
inst-700-484122292,graded,11.923
inst-714-1822952153,graded,21.602
inst-72-2112075539,graded,31.081
inst-72-715166324,graded,12.299
inst-732-484122292,graded,1187.739
inst-733-484122292,graded,322.83
inst-735-1401207286,graded,106.097
inst-735-506479957,graded,25.333
inst-737-506479957,graded,624.203
inst-744-1710883418,graded,20.779
inst-745-1401207286,graded,23.306
inst-750-1710883418,graded,613.913
inst-751-1401207286,graded,19.555
inst-756-1710883418,graded,14.314
inst-757-1401207286,graded,78.07
inst-771-484122292,graded,35.001
