instance,status,meanSolverTime
inst-100-1242700005,solverTimeOut,0
inst-100-1986116737,solverTimeOut,0
inst-100-484122292,tooEasy,0.105
inst-100-715166324,solverTimeOut,0
inst-100-875407424,solverTimeOut,0
inst-104-1014571339,tooEasy,0.165
inst-104-1242700005,solverTimeOut,0
inst-104-1401207286,tooEasy,0.127
inst-104-1710883418,solverTimeOut,0
inst-104-1822952153,tooEasy,0.003
inst-104-19034017,tooEasy,0.093
inst-104-1927683781,tooEasy,0.015
inst-104-1986116737,tooEasy,7.156
inst-104-2112075539,tooEasy,0.296
inst-104-215827268,tooEasy,0.518
inst-104-322757527,tooEasy,0.208
inst-104-484122292,tooEasy,0.019
inst-104-633239544,tooEasy,0.068
inst-104-715166324,tooEasy,1.177
inst-104-875407424,tooEasy,0.52
inst-105-1242700005,solverTimeOut,0
inst-105-1986116737,tooEasy,0.036
inst-105-484122292,solverTimeOut,0
inst-105-715166324,solverTimeOut,0
inst-105-875407424,solverTimeOut,0
inst-109-1242700005,tooEasy,0.004
inst-109-1710883418,tooEasy,0.031
inst-109-1986116737,tooEasy,0.005
inst-109-215827268,tooEasy,0.024
inst-109-484122292,tooEasy,0.004
inst-109-715166324,tooEasy,0.09
inst-109-875407424,tooEasy,0.004
inst-111-1242700005,graded,28.58
inst-111-1710883418,solverTimeOut,0
inst-111-1986116737,solverTimeOut,0
inst-111-215827268,solverTimeOut,0
inst-11-1242700005,tooEasy,0.012
inst-111-484122292,solverTimeOut,0
inst-11-1710883418,tooEasy,0.003
inst-111-715166324,tooEasy,0.061
inst-111-875407424,solverTimeOut,0
inst-11-1986116737,tooEasy,0.049
inst-11-215827268,tooEasy,0.018
inst-1-1242700005,tooEasy,0.038
inst-113-1242700005,tooEasy,0.005
inst-113-1710883418,tooEasy,0.371
inst-113-1986116737,tooEasy,0.007
inst-113-215827268,tooEasy,0.004
inst-113-484122292,tooEasy,0.005
inst-113-715166324,solverTimeOut,0
inst-113-875407424,graded,246.418
inst-11-484122292,tooEasy,0.045
inst-1-1710883418,tooEasy,0.004
inst-117-1242700005,graded,783.77
inst-11-715166324,tooEasy,0.039
inst-117-1710883418,solverTimeOut,0
inst-117-1986116737,solverTimeOut,0
inst-117-215827268,solverTimeOut,0
inst-117-484122292,tooEasy,0.045
inst-117-715166324,solverTimeOut,0
inst-117-875407424,solverTimeOut,0
inst-11-875407424,tooEasy,0.051
inst-119-1242700005,tooEasy,0.005
inst-119-1710883418,tooEasy,0.006
inst-119-1986116737,tooEasy,0.049
inst-119-215827268,tooEasy,0.008
inst-119-484122292,tooEasy,0.005
inst-119-715166324,tooEasy,0.006
inst-1-1986116737,tooEasy,0.032
inst-119-875407424,tooEasy,0.016
inst-120-1242700005,solverTimeOut,0
inst-120-1986116737,solverTimeOut,0
inst-120-484122292,solverTimeOut,0
inst-120-715166324,solverTimeOut,0
inst-120-875407424,solverTimeOut,0
inst-12-1242700005,tooEasy,0.024
inst-1-215827268,tooEasy,0.004
inst-12-1710883418,solverTimeOut,0
inst-12-1986116737,solverTimeOut,0
inst-12-215827268,tooEasy,0.007
inst-123-1014571339,tooEasy,0.083
inst-123-1242700005,tooEasy,0.066
inst-123-1401207286,tooEasy,0.034
inst-123-1710883418,tooEasy,0.034
inst-123-1986116737,tooEasy,0.016
inst-123-215827268,tooEasy,0.019
inst-123-484122292,tooEasy,0.031
inst-123-715166324,tooEasy,0.051
inst-123-875407424,tooEasy,0.018
inst-12-484122292,tooEasy,0.148
inst-125-1242700005,solverTimeOut,0
inst-125-1986116737,tooEasy,0.004
inst-125-484122292,solverTimeOut,0
inst-125-715166324,tooEasy,0.004
inst-125-875407424,tooEasy,0.005
inst-12-715166324,tooEasy,0.021
inst-12-875407424,tooEasy,0.028
inst-132-1242700005,tooEasy,0.004
inst-132-1986116737,tooEasy,0.004
inst-132-484122292,tooEasy,0.005
inst-132-715166324,tooEasy,0.004
inst-132-875407424,tooEasy,0.004
inst-139-1014571339,solverTimeOut,0
inst-139-1242700005,tooEasy,0.037
inst-139-1710883418,tooEasy,0.034
inst-139-1986116737,tooEasy,0.012
inst-139-215827268,tooEasy,0.006
inst-139-715166324,tooEasy,0.03
inst-139-875407424,tooEasy,0.023
inst-140-1014571339,solverTimeOut,0
inst-140-1242700005,tooEasy,0.008
inst-140-1710883418,solverTimeOut,0
inst-140-715166324,solverTimeOut,0
inst-140-875407424,solverTimeOut,0
inst-14-1242700005,tooEasy,0.005
inst-14-1710883418,tooEasy,0.007
inst-14-1986116737,tooEasy,0.005
inst-142-1014571339,solverTimeOut,0
inst-142-1242700005,solverTimeOut,0
inst-14-215827268,solverTimeOut,0
inst-142-1710883418,solverTimeOut,0
inst-142-715166324,solverTimeOut,0
inst-142-875407424,solverTimeOut,0
inst-144-1014571339,tooEasy,0.061
inst-144-1242700005,tooEasy,0.048
inst-144-1710883418,tooEasy,0.018
inst-144-1986116737,tooEasy,0.004
inst-144-215827268,solverTimeOut,0
inst-144-715166324,tooEasy,0.03
inst-14-484122292,solverTimeOut,0
inst-144-875407424,graded,21.902
inst-146-1014571339,solverTimeOut,0
inst-146-1242700005,tooEasy,3.209
inst-146-1710883418,solverTimeOut,0
inst-146-715166324,solverTimeOut,0
inst-146-875407424,solverTimeOut,0
inst-14-715166324,solverTimeOut,0
inst-1-484122292,tooEasy,0.016
inst-14-875407424,tooEasy,0.644
inst-149-1014571339,solverTimeOut,0
inst-149-1242700005,solverTimeOut,0
inst-149-1710883418,solverTimeOut,0
inst-149-715166324,solverTimeOut,0
inst-149-875407424,solverTimeOut,0
inst-15-1242700005,solverTimeOut,0
inst-15-1986116737,solverTimeOut,0
inst-15-484122292,tooEasy,0.046
inst-155-1014571339,tooEasy,0.071
inst-155-1242700005,solverTimeOut,0
inst-155-1710883418,tooEasy,0.011
inst-155-715166324,tooEasy,0.047
inst-155-875407424,tooEasy,0.011
inst-157-1014571339,solverTimeOut,0
inst-157-1242700005,graded,662.175
inst-15-715166324,solverTimeOut,0
inst-157-1710883418,solverTimeOut,0
inst-157-715166324,solverTimeOut,0
inst-157-875407424,tooEasy,0.008
inst-158-1014571339,tooEasy,0.017
inst-158-1242700005,tooEasy,0.005
inst-158-1710883418,tooEasy,0.005
inst-158-715166324,tooEasy,0.01
inst-15-875407424,solverTimeOut,0
inst-158-875407424,tooEasy,0.005
inst-160-1014571339,solverTimeOut,0
inst-160-1242700005,solverTimeOut,0
inst-160-1710883418,solverTimeOut,0
inst-160-715166324,tooEasy,0.033
inst-160-875407424,graded,55.075
inst-161-1014571339,tooEasy,0.029
inst-161-1242700005,tooEasy,0.005
inst-161-1710883418,tooEasy,0.017
inst-161-715166324,tooEasy,0.023
inst-161-875407424,tooEasy,0.013
inst-167-1014571339,solverTimeOut,0
inst-167-1242700005,solverTimeOut,0
inst-167-1710883418,solverTimeOut,0
inst-167-715166324,tooEasy,0.007
inst-167-875407424,solverTimeOut,0
inst-170-1014571339,tooEasy,0.053
inst-170-1242700005,tooEasy,0.014
inst-170-1401207286,tooEasy,0.01
inst-170-1710883418,tooEasy,0.033
inst-170-1986116737,tooEasy,0.005
inst-170-215827268,tooEasy,0.012
inst-170-484122292,tooEasy,0.014
inst-170-715166324,tooEasy,0.06
inst-170-875407424,tooEasy,0.06
inst-1-715166324,tooEasy,0.042
inst-173-1014571339,tooEasy,0.031
inst-173-1242700005,tooEasy,0.04
inst-173-1710883418,tooEasy,0.048
inst-173-1986116737,solverTimeOut,0
inst-173-215827268,solverTimeOut,0
inst-173-715166324,tooEasy,0.04
inst-173-875407424,tooEasy,0.05
inst-174-1014571339,tooEasy,0.015
inst-174-1242700005,tooEasy,0.005
inst-174-1710883418,tooEasy,0.046
inst-174-1986116737,tooEasy,0.005
inst-174-215827268,tooEasy,0.006
inst-174-715166324,tooEasy,0.003
inst-174-875407424,tooEasy,0.044
inst-175-1014571339,tooEasy,0.036
inst-175-1242700005,tooEasy,0.006
inst-175-1710883418,tooEasy,0.006
inst-175-1986116737,tooEasy,0.004
inst-175-215827268,tooEasy,0.005
inst-175-715166324,tooEasy,0.08
inst-175-875407424,tooEasy,0.04
inst-176-1014571339,tooEasy,0.054
inst-176-1242700005,tooEasy,0.009
inst-176-1710883418,tooEasy,0.025
inst-176-1986116737,tooEasy,0.004
inst-176-215827268,tooEasy,0.004
inst-176-715166324,tooEasy,0.014
inst-176-875407424,tooEasy,0.054
inst-178-1014571339,solverTimeOut,0
inst-178-1242700005,tooEasy,7.671
inst-178-1710883418,solverTimeOut,0
inst-178-715166324,solverTimeOut,0
inst-178-875407424,solverTimeOut,0
inst-180-1014571339,solverTimeOut,0
inst-180-1242700005,tooEasy,0.019
inst-180-1710883418,solverTimeOut,0
inst-180-715166324,tooEasy,0.055
inst-180-875407424,tooEasy,0.024
inst-18-1242700005,solverTimeOut,0
inst-18-1710883418,tooEasy,0.015
inst-18-1986116737,solverTimeOut,0
inst-18-215827268,tooEasy,0.003
inst-184-1014571339,solverTimeOut,0
inst-184-1242700005,tooEasy,0.039
inst-184-1710883418,solverTimeOut,0
inst-184-715166324,solverTimeOut,0
inst-18-484122292,tooEasy,1.394
inst-184-875407424,tooEasy,0.232
inst-185-1014571339,tooEasy,0.065
inst-185-1242700005,tooEasy,0.092
inst-185-1401207286,solverTimeOut,0
inst-185-1710883418,tooEasy,0.072
inst-185-1986116737,tooEasy,0.032
inst-185-215827268,solverTimeOut,0
inst-185-484122292,tooEasy,0.032
inst-185-715166324,solverTimeOut,0
inst-185-875407424,tooEasy,0.041
inst-186-1014571339,tooEasy,0.021
inst-186-1242700005,tooEasy,0.018
inst-186-1710883418,tooEasy,0.016
inst-186-1986116737,tooEasy,0.018
inst-186-215827268,tooEasy,0.007
inst-186-715166324,tooEasy,0.052
inst-186-875407424,tooEasy,0.035
inst-18-715166324,tooEasy,0.201
inst-1-875407424,tooEasy,0.041
inst-188-1014571339,solverTimeOut,0
inst-188-1242700005,solverTimeOut,0
inst-188-1710883418,solverTimeOut,0
inst-188-715166324,solverTimeOut,0
inst-18-875407424,solverTimeOut,0
inst-188-875407424,solverTimeOut,0
inst-189-1014571339,tooEasy,0.006
inst-189-1242700005,tooEasy,0.048
inst-189-1710883418,tooEasy,0.029
inst-189-1986116737,tooEasy,0.006
inst-189-215827268,solverTimeOut,0
inst-189-715166324,tooEasy,0.02
inst-189-875407424,tooEasy,0.012
inst-192-1014571339,tooEasy,0.029
inst-192-1242700005,tooEasy,0.011
inst-192-1710883418,tooEasy,0.03
inst-192-1986116737,tooEasy,0.004
inst-192-215827268,tooEasy,0.005
inst-192-715166324,tooEasy,0.046
inst-192-875407424,tooEasy,0.053
inst-193-1014571339,solverTimeOut,0
inst-193-1242700005,solverTimeOut,0
inst-193-1710883418,graded,58.315
inst-193-715166324,solverTimeOut,0
inst-193-875407424,solverTimeOut,0
inst-195-1014571339,tooEasy,0.034
inst-195-1242700005,tooEasy,0.023
inst-195-1710883418,tooEasy,0.048
inst-195-1986116737,tooEasy,0.024
inst-195-215827268,solverTimeOut,0
inst-195-715166324,solverTimeOut,0
inst-195-875407424,tooEasy,0.009
inst-197-1014571339,solverTimeOut,0
inst-197-1242700005,tooEasy,0.049
inst-197-1710883418,tooEasy,0.043
inst-197-1986116737,solverTimeOut,0
inst-197-215827268,solverTimeOut,0
inst-197-715166324,solverTimeOut,0
inst-197-875407424,tooEasy,0.088
inst-200-1014571339,solverTimeOut,0
inst-200-1242700005,tooEasy,0.093
inst-200-1710883418,solverTimeOut,0
inst-200-715166324,solverTimeOut,0
inst-200-875407424,tooEasy,0.027
inst-204-1014571339,solverTimeOut,0
inst-204-1242700005,tooEasy,0.008
inst-204-1710883418,solverTimeOut,0
inst-204-715166324,solverTimeOut,0
inst-204-875407424,tooEasy,0.055
inst-205-1014571339,tooEasy,0.011
inst-205-1242700005,tooEasy,0.008
inst-205-1710883418,tooEasy,0.014
inst-205-715166324,tooEasy,0.004
inst-205-875407424,tooEasy,0.017
inst-207-1014571339,tooEasy,0.014
inst-207-1242700005,tooEasy,0.006
inst-207-1710883418,graded,28.321
inst-207-1986116737,tooEasy,0.006
inst-207-215827268,tooEasy,0.004
inst-207-715166324,tooEasy,0.019
inst-207-875407424,tooEasy,0.007
inst-209-1014571339,tooEasy,0.38
inst-209-1242700005,tooEasy,0.215
inst-209-1401207286,tooEasy,0.005
inst-209-1710883418,tooEasy,0.277
inst-209-1822952153,tooEasy,0.149
inst-209-19034017,tooEasy,3.461
inst-209-1927683781,tooEasy,0.003
inst-209-1986116737,graded,59.363
inst-209-2112075539,tooEasy,1.008
inst-209-215827268,tooEasy,0.006
inst-209-322757527,tooEasy,0.181
inst-209-484122292,tooEasy,0.005
inst-209-715166324,tooEasy,0.057
inst-209-875407424,tooEasy,0.044
inst-210-1014571339,tooEasy,0.049
inst-210-1242700005,tooEasy,0.098
inst-210-1710883418,solverTimeOut,0
inst-210-715166324,solverTimeOut,0
inst-210-875407424,solverTimeOut,0
inst-211-1014571339,solverTimeOut,0
inst-211-1242700005,solverTimeOut,0
inst-211-1710883418,solverTimeOut,0
inst-211-715166324,solverTimeOut,0
inst-211-875407424,solverTimeOut,0
inst-215-1014571339,solverTimeOut,0
inst-215-1242700005,tooEasy,0.005
inst-215-1710883418,tooEasy,0.095
inst-215-715166324,solverTimeOut,0
inst-215-875407424,solverTimeOut,0
inst-216-1014571339,tooEasy,0.047
inst-216-1242700005,solverTimeOut,0
inst-216-1710883418,solverTimeOut,0
inst-216-715166324,solverTimeOut,0
inst-216-875407424,tooEasy,0.056
inst-218-1014571339,solverTimeOut,0
inst-218-1242700005,solverTimeOut,0
inst-218-1710883418,solverTimeOut,0
inst-218-715166324,tooEasy,0.005
inst-218-875407424,tooEasy,0.011
inst-219-1014571339,tooEasy,0.005
inst-219-1242700005,tooEasy,0.004
inst-219-1710883418,tooEasy,0.005
inst-219-715166324,tooEasy,0.005
inst-219-875407424,tooEasy,0.005
inst-220-1014571339,tooEasy,0.005
inst-220-1242700005,tooEasy,0.004
inst-220-1710883418,tooEasy,0.005
inst-220-715166324,tooEasy,0.005
inst-220-875407424,tooEasy,0.006
inst-221-1014571339,tooEasy,0.006
inst-221-1242700005,tooEasy,0.005
inst-221-1710883418,tooEasy,0.004
inst-221-715166324,tooEasy,0.026
inst-221-875407424,tooEasy,0.006
inst-224-1014571339,tooEasy,0.557
inst-224-1242700005,tooEasy,0.006
inst-224-1401207286,solverTimeOut,0
inst-224-1710883418,tooEasy,0.089
inst-224-19034017,tooEasy,0.004
inst-224-1927683781,tooEasy,0.313
inst-224-1986116737,tooEasy,0.847
inst-224-2112075539,tooEasy,0.047
inst-224-215827268,tooEasy,0.009
inst-224-484122292,tooEasy,0.117
inst-224-715166324,tooEasy,0.012
inst-224-875407424,tooEasy,0.037
inst-225-1014571339,solverTimeOut,0
inst-225-1242700005,tooEasy,0.123
inst-225-1710883418,tooEasy,0.16
inst-225-715166324,solverTimeOut,0
inst-225-875407424,solverTimeOut,0
inst-226-1014571339,tooEasy,0.008
inst-226-1242700005,tooEasy,0.015
inst-226-1710883418,tooEasy,0.022
inst-226-1986116737,tooEasy,0.004
inst-226-215827268,tooEasy,0.006
inst-226-715166324,tooEasy,0.023
inst-226-875407424,tooEasy,0.007
inst-229-1014571339,tooEasy,0.005
inst-229-1242700005,tooEasy,0.005
inst-229-1710883418,tooEasy,0.004
inst-229-715166324,tooEasy,0.005
inst-229-875407424,tooEasy,0.003
inst-230-1014571339,solverTimeOut,0
inst-230-1242700005,tooEasy,1.139
inst-230-1401207286,tooEasy,0.122
inst-230-1710883418,tooEasy,0.22
inst-230-1986116737,solverTimeOut,0
inst-230-2112075539,solverTimeOut,0
inst-230-215827268,tooEasy,0.013
inst-230-484122292,tooEasy,0.026
inst-230-715166324,tooEasy,0.088
inst-230-875407424,solverTimeOut,0
inst-231-1014571339,solverTimeOut,0
inst-231-1242700005,tooEasy,0.016
inst-231-1710883418,tooEasy,0.006
inst-23-1242700005,tooEasy,0.011
inst-23-1710883418,tooEasy,0.004
inst-231-715166324,solverTimeOut,0
inst-231-875407424,tooEasy,0.007
inst-23-1986116737,tooEasy,0.13
inst-232-1014571339,tooEasy,0.005
inst-232-1242700005,tooEasy,0.032
inst-23-215827268,tooEasy,0.004
inst-232-1710883418,solverTimeOut,0
inst-232-715166324,graded,161.836
inst-232-875407424,solverTimeOut,0
inst-234-1014571339,solverTimeOut,0
inst-234-1242700005,tooEasy,0.005
inst-234-1710883418,tooEasy,0.065
inst-234-715166324,solverTimeOut,0
inst-23-484122292,tooEasy,0.009
inst-234-875407424,tooEasy,0.007
inst-23-715166324,tooEasy,0.039
inst-23-875407424,tooEasy,0.036
inst-239-1014571339,solverTimeOut,0
inst-239-1242700005,solverTimeOut,0
inst-239-1710883418,solverTimeOut,0
inst-239-715166324,tooEasy,0.053
inst-239-875407424,solverTimeOut,0
inst-243-1014571339,solverTimeOut,0
inst-243-1242700005,tooEasy,0.025
inst-243-1710883418,tooEasy,0.021
inst-243-715166324,solverTimeOut,0
inst-243-875407424,tooEasy,0.033
inst-244-1014571339,solverTimeOut,0
inst-244-1242700005,tooEasy,1.876
inst-244-1401207286,tooEasy,0.013
inst-244-1710883418,tooEasy,4.441
inst-244-1822952153,tooEasy,0.279
inst-244-19034017,tooEasy,2.26
inst-244-1927683781,solverTimeOut,0
